egg_type,egg_number,token,qr_url
common,67,cmn_MG7z8LzDhsgxPOHl,https://aggiex.org/eggs/common?token=cmn_MG7z8LzDhsgxPOHl
common,68,cmn_D2pxqXWI7xWs9szG,https://aggiex.org/eggs/common?token=cmn_D2pxqXWI7xWs9szG
common,69,cmn_igZ6grP6EEGzkbxl,https://aggiex.org/eggs/common?token=cmn_igZ6grP6EEGzkbxl
common,70,cmn_6FYVyfrnI6ZV52aF,https://aggiex.org/eggs/common?token=cmn_6FYVyfrnI6ZV52aF
common,71,cmn_z3hwckaWr8fVBK1I,https://aggiex.org/eggs/common?token=cmn_z3hwckaWr8fVBK1I
common,72,cmn_w7tM3DkCgb2kfMsO,https://aggiex.org/eggs/common?token=cmn_w7tM3DkCgb2kfMsO
common,73,cmn_PLRiM4QjsczxZxAo,https://aggiex.org/eggs/common?token=cmn_PLRiM4QjsczxZxAo
common,74,cmn_NRlg2sEuPMyg7lgT,https://aggiex.org/eggs/common?token=cmn_NRlg2sEuPMyg7lgT
common,75,cmn_EW8ovE7unHBlpTaB,https://aggiex.org/eggs/common?token=cmn_EW8ovE7unHBlpTaB
common,76,cmn_42CnAlVea3H1xEdW,https://aggiex.org/eggs/common?token=cmn_42CnAlVea3H1xEdW
common,77,cmn_RmhJe48oltgG9Oot,https://aggiex.org/eggs/common?token=cmn_RmhJe48oltgG9Oot
common,78,cmn_R1s1j7vkGFXJ5OEF,https://aggiex.org/eggs/common?token=cmn_R1s1j7vkGFXJ5OEF
common,79,cmn_LsW1jA9sTagVDOfn,https://aggiex.org/eggs/common?token=cmn_LsW1jA9sTagVDOfn
common,80,cmn_IdLc9iZamB3FqPbg,https://aggiex.org/eggs/common?token=cmn_IdLc9iZamB3FqPbg
common,81,cmn_jph2Gv8T8p77JyGG,https://aggiex.org/eggs/common?token=cmn_jph2Gv8T8p77JyGG
common,82,cmn_aIwuzcQVj64CvwL3,https://aggiex.org/eggs/common?token=cmn_aIwuzcQVj64CvwL3
common,83,cmn_c3YyfDlVUftEXJnE,https://aggiex.org/eggs/common?token=cmn_c3YyfDlVUftEXJnE
common,84,cmn_S3Az8GSAFg3OHgqt,https://aggiex.org/eggs/common?token=cmn_S3Az8GSAFg3OHgqt
common,85,cmn_os625gPfDQTA1CT6,https://aggiex.org/eggs/common?token=cmn_os625gPfDQTA1CT6
common,86,cmn_IVaU1Mq4If0dAXkq,https://aggiex.org/eggs/common?token=cmn_IVaU1Mq4If0dAXkq
common,87,cmn_9RhaRMts9i90iP9T,https://aggiex.org/eggs/common?token=cmn_9RhaRMts9i90iP9T
common,88,cmn_11wAg1CIXeF8lu7Z,https://aggiex.org/eggs/common?token=cmn_11wAg1CIXeF8lu7Z
common,89,cmn_pI6ZgekM5KyQ86wO,https://aggiex.org/eggs/common?token=cmn_pI6ZgekM5KyQ86wO
common,90,cmn_bXzLXpFjcTvGaL80,https://aggiex.org/eggs/common?token=cmn_bXzLXpFjcTvGaL80
common,91,cmn_pDTgqBi5kweJfu3a,https://aggiex.org/eggs/common?token=cmn_pDTgqBi5kweJfu3a
common,92,cmn_yH0aBM0fzUiGQcQI,https://aggiex.org/eggs/common?token=cmn_yH0aBM0fzUiGQcQI
common,93,cmn_Gxb0DJtiMO43l4c4,https://aggiex.org/eggs/common?token=cmn_Gxb0DJtiMO43l4c4
common,94,cmn_yGvMOFItBiblXOFg,https://aggiex.org/eggs/common?token=cmn_yGvMOFItBiblXOFg
common,95,cmn_Caf60J1rW0A9lnfF,https://aggiex.org/eggs/common?token=cmn_Caf60J1rW0A9lnfF
common,96,cmn_NKB3E4rxPHjEgWUy,https://aggiex.org/eggs/common?token=cmn_NKB3E4rxPHjEgWUy
common,97,cmn_wc9Eeev3jcPIZGXO,https://aggiex.org/eggs/common?token=cmn_wc9Eeev3jcPIZGXO
common,98,cmn_jAEx72XedMjeCZhK,https://aggiex.org/eggs/common?token=cmn_jAEx72XedMjeCZhK
common,99,cmn_iuV4kfp62D72NH2X,https://aggiex.org/eggs/common?token=cmn_iuV4kfp62D72NH2X
common,100,cmn_vOWSgrO1eKr6V3Fb,https://aggiex.org/eggs/common?token=cmn_vOWSgrO1eKr6V3Fb
common,101,cmn_dO2yGNkXl8KMTAOF,https://aggiex.org/eggs/common?token=cmn_dO2yGNkXl8KMTAOF
common,102,cmn_vhrBJUtfuKsHmGha,https://aggiex.org/eggs/common?token=cmn_vhrBJUtfuKsHmGha
common,103,cmn_MAiW5uhpJrF20JMu,https://aggiex.org/eggs/common?token=cmn_MAiW5uhpJrF20JMu
common,104,cmn_bV9nxzicqyVTYhFb,https://aggiex.org/eggs/common?token=cmn_bV9nxzicqyVTYhFb
common,105,cmn_4XGblxM8A6C4hMTt,https://aggiex.org/eggs/common?token=cmn_4XGblxM8A6C4hMTt
common,106,cmn_ocihcpo30DtcD6CO,https://aggiex.org/eggs/common?token=cmn_ocihcpo30DtcD6CO
common,107,cmn_lRdi8scxE4avDPir,https://aggiex.org/eggs/common?token=cmn_lRdi8scxE4avDPir
common,108,cmn_BP1wBTKAUE5pJcvx,https://aggiex.org/eggs/common?token=cmn_BP1wBTKAUE5pJcvx
common,109,cmn_rEF8cN5d6ilGINbu,https://aggiex.org/eggs/common?token=cmn_rEF8cN5d6ilGINbu
common,110,cmn_sSWNBCtPpmBPml7E,https://aggiex.org/eggs/common?token=cmn_sSWNBCtPpmBPml7E
common,111,cmn_VIaAQWRBWFmQ9MBH,https://aggiex.org/eggs/common?token=cmn_VIaAQWRBWFmQ9MBH
common,112,cmn_K6LnMNBBS6hx2Gre,https://aggiex.org/eggs/common?token=cmn_K6LnMNBBS6hx2Gre
common,113,cmn_d0CC1QBQxM1mYWBh,https://aggiex.org/eggs/common?token=cmn_d0CC1QBQxM1mYWBh
common,114,cmn_LptJzpCkTrRZj8Yd,https://aggiex.org/eggs/common?token=cmn_LptJzpCkTrRZj8Yd
common,115,cmn_wIyjGAS4A7lbvs4n,https://aggiex.org/eggs/common?token=cmn_wIyjGAS4A7lbvs4n
common,116,cmn_MxS1bA4ULBNDTNGv,https://aggiex.org/eggs/common?token=cmn_MxS1bA4ULBNDTNGv
common,117,cmn_dw23qMisMfCulMd9,https://aggiex.org/eggs/common?token=cmn_dw23qMisMfCulMd9
common,118,cmn_NzsPX5dyShkBkiXO,https://aggiex.org/eggs/common?token=cmn_NzsPX5dyShkBkiXO
common,119,cmn_6FkmerGI5TdUDnwB,https://aggiex.org/eggs/common?token=cmn_6FkmerGI5TdUDnwB
common,120,cmn_7qs1UVJLGvUCXbE2,https://aggiex.org/eggs/common?token=cmn_7qs1UVJLGvUCXbE2
common,121,cmn_RmepBwZJ2bCTk5Er,https://aggiex.org/eggs/common?token=cmn_RmepBwZJ2bCTk5Er
common,122,cmn_2AHocpRtVlXY2AxC,https://aggiex.org/eggs/common?token=cmn_2AHocpRtVlXY2AxC
common,123,cmn_3zKV0s6qQK5jSvf3,https://aggiex.org/eggs/common?token=cmn_3zKV0s6qQK5jSvf3
common,124,cmn_zo7I8fGpmHhBsEd5,https://aggiex.org/eggs/common?token=cmn_zo7I8fGpmHhBsEd5
common,125,cmn_KHA9jxgiaxJUoWS5,https://aggiex.org/eggs/common?token=cmn_KHA9jxgiaxJUoWS5
common,126,cmn_QwECoDM6FuEOsEAP,https://aggiex.org/eggs/common?token=cmn_QwECoDM6FuEOsEAP
common,127,cmn_MxTdkCdy0LRl2zB4,https://aggiex.org/eggs/common?token=cmn_MxTdkCdy0LRl2zB4
common,128,cmn_AfmG6DPYCsNVb4ev,https://aggiex.org/eggs/common?token=cmn_AfmG6DPYCsNVb4ev
common,129,cmn_xvF6Eqc85s7ia9Kd,https://aggiex.org/eggs/common?token=cmn_xvF6Eqc85s7ia9Kd
common,130,cmn_ri4BnGD0LzNA4MaP,https://aggiex.org/eggs/common?token=cmn_ri4BnGD0LzNA4MaP
common,131,cmn_Mpks306es2YB4vDM,https://aggiex.org/eggs/common?token=cmn_Mpks306es2YB4vDM
common,132,cmn_xHUoUghvLJuALsGl,https://aggiex.org/eggs/common?token=cmn_xHUoUghvLJuALsGl
common,133,cmn_DUFK7thNrbYZXET6,https://aggiex.org/eggs/common?token=cmn_DUFK7thNrbYZXET6
common,134,cmn_VAFTBKwut2pRnxj2,https://aggiex.org/eggs/common?token=cmn_VAFTBKwut2pRnxj2
common,135,cmn_PgNhZfpyS9cG1rhI,https://aggiex.org/eggs/common?token=cmn_PgNhZfpyS9cG1rhI
common,136,cmn_B0wP9jHo3HuXMLYp,https://aggiex.org/eggs/common?token=cmn_B0wP9jHo3HuXMLYp
common,137,cmn_cmmiX1MHXc83KcyW,https://aggiex.org/eggs/common?token=cmn_cmmiX1MHXc83KcyW
common,138,cmn_nEzRVaBpLNmkSw0S,https://aggiex.org/eggs/common?token=cmn_nEzRVaBpLNmkSw0S
common,139,cmn_RxCiutIplFX3bJjc,https://aggiex.org/eggs/common?token=cmn_RxCiutIplFX3bJjc
common,140,cmn_H2uJiBapCV1EnCXU,https://aggiex.org/eggs/common?token=cmn_H2uJiBapCV1EnCXU
common,141,cmn_GMsPWSzbVlEy1NSI,https://aggiex.org/eggs/common?token=cmn_GMsPWSzbVlEy1NSI
common,142,cmn_3WT8ESUYNMyGnjZT,https://aggiex.org/eggs/common?token=cmn_3WT8ESUYNMyGnjZT
common,143,cmn_VfUzmsneymvYUKjX,https://aggiex.org/eggs/common?token=cmn_VfUzmsneymvYUKjX
common,144,cmn_ht7BWaR7Ju4oWtAI,https://aggiex.org/eggs/common?token=cmn_ht7BWaR7Ju4oWtAI
common,145,cmn_GOpQGpTx3S0dunQN,https://aggiex.org/eggs/common?token=cmn_GOpQGpTx3S0dunQN
common,146,cmn_1BG4gimQsbh6MITA,https://aggiex.org/eggs/common?token=cmn_1BG4gimQsbh6MITA
common,147,cmn_WUAR6Z2rkgDiUV6b,https://aggiex.org/eggs/common?token=cmn_WUAR6Z2rkgDiUV6b
common,148,cmn_CdDCJqBz2zBAZzNq,https://aggiex.org/eggs/common?token=cmn_CdDCJqBz2zBAZzNq
common,149,cmn_oCTQDDyGeAjTAN8L,https://aggiex.org/eggs/common?token=cmn_oCTQDDyGeAjTAN8L
common,150,cmn_495pFMAWUKLczqVE,https://aggiex.org/eggs/common?token=cmn_495pFMAWUKLczqVE
common,151,cmn_FQcDhv63vJQFgcUd,https://aggiex.org/eggs/common?token=cmn_FQcDhv63vJQFgcUd
common,152,cmn_dejETZnOWPNgIPfa,https://aggiex.org/eggs/common?token=cmn_dejETZnOWPNgIPfa
common,153,cmn_VPNlh7GS3FElQX9Q,https://aggiex.org/eggs/common?token=cmn_VPNlh7GS3FElQX9Q
common,154,cmn_lSYFBq4QsemIcrJ1,https://aggiex.org/eggs/common?token=cmn_lSYFBq4QsemIcrJ1
common,155,cmn_tjWlDecy1VGa3fuU,https://aggiex.org/eggs/common?token=cmn_tjWlDecy1VGa3fuU
common,156,cmn_FCLSAWAZgAO4KPWQ,https://aggiex.org/eggs/common?token=cmn_FCLSAWAZgAO4KPWQ
common,157,cmn_Gj9alfLhAFd7yRPg,https://aggiex.org/eggs/common?token=cmn_Gj9alfLhAFd7yRPg
common,158,cmn_RztlxukkSqiSY46z,https://aggiex.org/eggs/common?token=cmn_RztlxukkSqiSY46z
common,159,cmn_klnyPnrNwcbsdOP0,https://aggiex.org/eggs/common?token=cmn_klnyPnrNwcbsdOP0
common,160,cmn_PFAFnnWZ20XrdCR6,https://aggiex.org/eggs/common?token=cmn_PFAFnnWZ20XrdCR6
common,161,cmn_jQrOMDUOUHv6WxhP,https://aggiex.org/eggs/common?token=cmn_jQrOMDUOUHv6WxhP
common,162,cmn_q2o0NVrsCtS5vcho,https://aggiex.org/eggs/common?token=cmn_q2o0NVrsCtS5vcho
common,163,cmn_8loMtgvHgqdZcMZj,https://aggiex.org/eggs/common?token=cmn_8loMtgvHgqdZcMZj
common,164,cmn_wyjOyRCDiZeiFqaz,https://aggiex.org/eggs/common?token=cmn_wyjOyRCDiZeiFqaz
common,165,cmn_BR6KLjjeqErJ8rGl,https://aggiex.org/eggs/common?token=cmn_BR6KLjjeqErJ8rGl
common,166,cmn_NbQaildf1WsQLR8D,https://aggiex.org/eggs/common?token=cmn_NbQaildf1WsQLR8D
common,167,cmn_lcTXAQULODixOAYT,https://aggiex.org/eggs/common?token=cmn_lcTXAQULODixOAYT
common,168,cmn_TBAybcVQltEXF1dJ,https://aggiex.org/eggs/common?token=cmn_TBAybcVQltEXF1dJ
common,169,cmn_a4m3VfiSKUiizlrt,https://aggiex.org/eggs/common?token=cmn_a4m3VfiSKUiizlrt
common,170,cmn_BmRRiCA97eg6gpMH,https://aggiex.org/eggs/common?token=cmn_BmRRiCA97eg6gpMH
common,171,cmn_KDPceYCvJme6S3Wc,https://aggiex.org/eggs/common?token=cmn_KDPceYCvJme6S3Wc
common,172,cmn_JovndDMev4wOBUAn,https://aggiex.org/eggs/common?token=cmn_JovndDMev4wOBUAn
common,173,cmn_XPzbDTHqAhmnZ4uy,https://aggiex.org/eggs/common?token=cmn_XPzbDTHqAhmnZ4uy
common,174,cmn_jHbdymlngTS7laQY,https://aggiex.org/eggs/common?token=cmn_jHbdymlngTS7laQY
common,175,cmn_ZXCFtYFHHdXFaepe,https://aggiex.org/eggs/common?token=cmn_ZXCFtYFHHdXFaepe
common,176,cmn_kSIZVBEHzvJz6PLL,https://aggiex.org/eggs/common?token=cmn_kSIZVBEHzvJz6PLL
common,177,cmn_97heaBD49h2IYxe2,https://aggiex.org/eggs/common?token=cmn_97heaBD49h2IYxe2
common,178,cmn_R7TKRjILotlIRuaf,https://aggiex.org/eggs/common?token=cmn_R7TKRjILotlIRuaf
common,179,cmn_YvGCnQ5OfmTVTu4h,https://aggiex.org/eggs/common?token=cmn_YvGCnQ5OfmTVTu4h
common,180,cmn_q6zl2S5jSa30QHXI,https://aggiex.org/eggs/common?token=cmn_q6zl2S5jSa30QHXI
common,181,cmn_tBq3yJ5t9FCp7lVV,https://aggiex.org/eggs/common?token=cmn_tBq3yJ5t9FCp7lVV
common,182,cmn_Qe7y7nnVYRTvtqDk,https://aggiex.org/eggs/common?token=cmn_Qe7y7nnVYRTvtqDk
common,183,cmn_743idHO3y0iv8HE5,https://aggiex.org/eggs/common?token=cmn_743idHO3y0iv8HE5
common,184,cmn_cOKYzZVCtG5Utgoa,https://aggiex.org/eggs/common?token=cmn_cOKYzZVCtG5Utgoa
common,185,cmn_oFZXzIooPAPF4bLG,https://aggiex.org/eggs/common?token=cmn_oFZXzIooPAPF4bLG
common,186,cmn_hSJd8eP4e4sd2D80,https://aggiex.org/eggs/common?token=cmn_hSJd8eP4e4sd2D80
common,187,cmn_FCKbCfzDvfix84GJ,https://aggiex.org/eggs/common?token=cmn_FCKbCfzDvfix84GJ
common,188,cmn_pii4NxrmM0OUQNDK,https://aggiex.org/eggs/common?token=cmn_pii4NxrmM0OUQNDK
common,189,cmn_4dN5oc2cZjZxH9lZ,https://aggiex.org/eggs/common?token=cmn_4dN5oc2cZjZxH9lZ
common,190,cmn_FCviepl4VzAq9DAw,https://aggiex.org/eggs/common?token=cmn_FCviepl4VzAq9DAw
common,191,cmn_KQutIDGydPodrNhO,https://aggiex.org/eggs/common?token=cmn_KQutIDGydPodrNhO
common,192,cmn_GFhDV0TAgUnC6y5Q,https://aggiex.org/eggs/common?token=cmn_GFhDV0TAgUnC6y5Q
common,193,cmn_HCOeCoVSC7fdCFif,https://aggiex.org/eggs/common?token=cmn_HCOeCoVSC7fdCFif
common,194,cmn_w4iYHXdppV2FI7CI,https://aggiex.org/eggs/common?token=cmn_w4iYHXdppV2FI7CI
common,195,cmn_4OfbPGCJh0vPvbfW,https://aggiex.org/eggs/common?token=cmn_4OfbPGCJh0vPvbfW
common,196,cmn_sXcB7c7eaO1g6Ebd,https://aggiex.org/eggs/common?token=cmn_sXcB7c7eaO1g6Ebd
common,197,cmn_B5a4dRnHIKTMBWSd,https://aggiex.org/eggs/common?token=cmn_B5a4dRnHIKTMBWSd
common,198,cmn_Iub1An6YI7naAvva,https://aggiex.org/eggs/common?token=cmn_Iub1An6YI7naAvva
common,199,cmn_KFjboT8rEkUGSbhs,https://aggiex.org/eggs/common?token=cmn_KFjboT8rEkUGSbhs
common,200,cmn_ReWhf8A4zOXnrmR9,https://aggiex.org/eggs/common?token=cmn_ReWhf8A4zOXnrmR9
common,201,cmn_rH5pLfZEY1weurvQ,https://aggiex.org/eggs/common?token=cmn_rH5pLfZEY1weurvQ
common,202,cmn_5b0kayMG0cD2WKny,https://aggiex.org/eggs/common?token=cmn_5b0kayMG0cD2WKny
common,203,cmn_8Ask7puLHi8SaQAE,https://aggiex.org/eggs/common?token=cmn_8Ask7puLHi8SaQAE
common,204,cmn_0z3zADjBq1s0Y6Rk,https://aggiex.org/eggs/common?token=cmn_0z3zADjBq1s0Y6Rk
common,205,cmn_WgUq9rVhtG9OxWmo,https://aggiex.org/eggs/common?token=cmn_WgUq9rVhtG9OxWmo
common,206,cmn_ZXMzTeyefcaaF0zb,https://aggiex.org/eggs/common?token=cmn_ZXMzTeyefcaaF0zb
common,207,cmn_xqjGQBsZL023B8AC,https://aggiex.org/eggs/common?token=cmn_xqjGQBsZL023B8AC
common,208,cmn_2jtWTu1uqr2vT96W,https://aggiex.org/eggs/common?token=cmn_2jtWTu1uqr2vT96W
common,209,cmn_LrEHnmHLX1iDo1mH,https://aggiex.org/eggs/common?token=cmn_LrEHnmHLX1iDo1mH
common,210,cmn_G2uUKM5dhEPDVQV7,https://aggiex.org/eggs/common?token=cmn_G2uUKM5dhEPDVQV7
common,211,cmn_ofedwSwoMBAoctzG,https://aggiex.org/eggs/common?token=cmn_ofedwSwoMBAoctzG
common,212,cmn_gDout7uDLXshIUMN,https://aggiex.org/eggs/common?token=cmn_gDout7uDLXshIUMN
common,213,cmn_t3XoXls7IhYtTo1G,https://aggiex.org/eggs/common?token=cmn_t3XoXls7IhYtTo1G
common,214,cmn_gm7fEq9MyeWsFDs2,https://aggiex.org/eggs/common?token=cmn_gm7fEq9MyeWsFDs2
common,215,cmn_haf0CmbEm1XlGM7v,https://aggiex.org/eggs/common?token=cmn_haf0CmbEm1XlGM7v
common,216,cmn_JueiEUj71I7ugAGy,https://aggiex.org/eggs/common?token=cmn_JueiEUj71I7ugAGy
common,217,cmn_G6pkWsIInACmnnLa,https://aggiex.org/eggs/common?token=cmn_G6pkWsIInACmnnLa
common,218,cmn_C0WFqsYN3r5mH5Un,https://aggiex.org/eggs/common?token=cmn_C0WFqsYN3r5mH5Un
common,219,cmn_AMqZq4RvCZRmNFyv,https://aggiex.org/eggs/common?token=cmn_AMqZq4RvCZRmNFyv
common,220,cmn_PYnv2Z0mSb9mBK5R,https://aggiex.org/eggs/common?token=cmn_PYnv2Z0mSb9mBK5R
common,221,cmn_hjf7OLBaTXD68c0T,https://aggiex.org/eggs/common?token=cmn_hjf7OLBaTXD68c0T
common,222,cmn_eofvll6wQHhnSDyT,https://aggiex.org/eggs/common?token=cmn_eofvll6wQHhnSDyT
common,223,cmn_vZt9BwqCTCKu7HUR,https://aggiex.org/eggs/common?token=cmn_vZt9BwqCTCKu7HUR
common,224,cmn_CTPpXkYDLPJI1uiT,https://aggiex.org/eggs/common?token=cmn_CTPpXkYDLPJI1uiT
common,225,cmn_0uIqgKi981S2BY3h,https://aggiex.org/eggs/common?token=cmn_0uIqgKi981S2BY3h
epic,1,epc_CcSQmrGexwV4n0IX,https://aggiex.org/eggs/epic?token=epc_CcSQmrGexwV4n0IX
epic,2,epc_vhroe4x26QTFQZda,https://aggiex.org/eggs/epic?token=epc_vhroe4x26QTFQZda
